iter	Passed	Remaining
0	50	5039
1	54	2675
2	60	1948
3	67	1628
4	75	1432
5	82	1285
6	87	1168
7	96	1114
8	102	1040
9	108	977
10	114	924
11	121	888
12	125	842
13	130	804
14	136	772
15	141	742
16	146	715
17	151	689
18	155	660
19	158	633
20	161	607
21	163	581
22	166	558
23	169	536
24	172	516
25	174	497
26	177	479
27	179	462
28	181	445
29	184	429
30	186	416
31	188	400
32	189	385
33	191	372
34	193	358
35	194	345
36	195	333
37	197	321
38	198	309
39	199	299
40	201	289
41	202	279
42	203	270
43	205	260
44	206	251
45	206	242
46	207	234
47	209	227
48	211	220
49	213	213
50	214	205
51	215	199
52	216	192
53	217	185
54	218	179
55	220	172
56	221	167
57	223	161
58	225	156
59	226	151
60	228	145
61	230	141
62	233	137
63	235	132
64	238	128
65	240	124
66	242	119
67	245	115
68	246	110
69	248	106
70	249	101
71	250	97
72	251	93
73	253	89
74	254	84
75	256	80
76	257	76
77	259	73
78	260	69
79	261	65
80	263	61
81	264	58
82	265	54
83	267	50
84	268	47
85	270	43
86	271	40
87	272	37
88	273	33
89	275	30
90	276	27
91	278	24
92	279	21
93	280	17
94	282	14
95	283	11
96	284	8
97	286	5
98	287	2
99	289	0
